table,covers,seated,departed,minutes_at_table,check_usd,tip_usd
T12,3,16:41,17:44,62.7,44.89,6.3
T01,2,16:48,17:49,60.2,72.68,13.58
T02,2,16:50,17:38,48.1,66.76,15.48
T03,2,16:55,18:09,74.5,75.44,16.05
T04,1,17:00,17:36,35.1,34.42,7.77
T13,4,17:00,18:03,62.6,148.47,38.18
T14,4,17:03,18:18,75.1,266.49,64.63
T15,3,17:11,18:22,71.1,64.67,15.5
T16,4,17:15,18:20,64.5,120.96,29.35
T05,2,17:18,18:24,66.4,61.73,6.72
T06,2,17:21,18:17,55.8,85.74,16.39
T17,3,17:23,18:43,80.0,78.34,10.91
T18,4,17:23,19:24,120.5,101.42,19.14
T02,1,17:44,18:26,42.7,36.74,5.8
T12,3,17:48,19:06,78.8,143.67,15.88
T01,2,17:59,19:00,60.7,89.45,12.31
T04,2,18:03,18:59,56.0,123.12,25.76
T07,1,18:06,18:49,42.4,46.83,6.61
T03,1,18:19,18:55,36.8,26.05,6.86
T13,4,18:19,19:28,68.3,156.17,25.22
T14,4,18:22,19:25,62.8,96.03,28.97
T06,2,18:24,20:11,107.1,44.21,6.88
T08,2,18:27,19:44,76.5,71.41,15.97
T05,2,18:29,19:17,47.9,91.93,17.76
T02,1,18:31,19:37,65.4,25.37,5.61
T15,4,18:33,19:59,85.8,90.94,9.57
T16,4,18:35,20:33,118.2,133.92,33.82
T09,2,18:44,19:55,70.4,77.21,21.26
T17,3,18:47,20:05,78.0,73.78,13.66
T10,2,18:50,19:45,54.9,52.24,12.26
T07,1,18:56,19:40,44.4,35.08,3.86
T11,2,18:59,19:48,48.9,33.88,5.81
T03,2,18:59,20:27,87.1,83.63,20.3
T04,1,19:03,20:00,56.5,22.87,3.49
T01,2,19:10,20:08,58.5,48.54,7.47
T12,4,19:10,20:22,71.1,92.14,13.71
T05,2,19:21,20:17,56.8,51.78,11.67
T18,3,19:28,20:30,61.8,114.84,22.26
T14,4,19:29,20:53,84.0,210.08,47.79
T13,4,19:32,20:35,63.4,138.19,4.01
T02,2,19:41,20:30,49.4,61.99,15.94
T07,2,19:44,20:39,55.0,49.16,8.13
T08,2,19:48,20:58,70.4,90.67,19.56
T10,2,19:49,21:13,83.7,105.07,30.66
T11,2,19:52,20:44,52.3,92.04,15.6
T09,2,19:59,20:56,57.1,54.35,12.2
T15,3,20:03,21:31,88.4,82.34,18.84
T04,2,20:08,21:09,60.2,45.94,6.87
T17,4,20:09,21:11,62.0,100.0,19.25
T01,2,20:12,21:04,52.0,76.71,16.81
T06,2,20:15,21:12,57.2,58.46,12.23
T05,2,20:21,21:08,46.9,59.78,14.75
T12,4,20:26,21:23,57.8,150.23,33.21
T03,2,20:32,21:41,69.2,65.32,17.92
T18,4,20:34,21:40,65.8,140.41,31.1
T16,4,20:37,21:44,66.5,118.67,21.45
T13,3,20:39,22:00,81.0,86.13,22.29
T02,2,20:41,21:48,66.8,66.63,11.65
T07,2,20:47,21:54,67.3,71.05,11.97
T11,2,20:49,21:54,65.0,48.46,7.57
T14,4,20:57,23:27,149.5,122.72,24.2
T09,2,21:00,22:13,72.9,40.57,6.29
T08,2,21:02,21:56,53.7,63.46,10.52
T01,2,21:08,22:23,74.3,86.44,12.94
T17,4,21:15,22:43,88.3,116.27,15.03
T04,2,21:17,22:05,48.0,66.4,17.03
T05,2,21:24,22:21,56.5,57.86,12.9
T12,3,21:27,22:43,75.6,84.72,22.43
T06,2,21:30,22:26,56.5,48.06,10.31
T15,4,21:35,22:29,53.7,230.87,33.8
T18,4,21:44,22:51,67.7,110.83,26.09
T16,4,21:48,23:20,92.6,126.6,38.94
