arrival,party_size,quoted_wait_min,outcome,seated,table,table_seats,departed
16:41,3,0,seated,16:41,T12,4,17:44
16:48,2,0,seated,16:48,T01,2,17:49
16:50,2,0,seated,16:50,T02,2,17:38
16:55,2,0,seated,16:55,T03,2,18:09
17:00,1,0,seated,17:00,T04,2,17:36
17:00,4,0,seated,17:00,T13,4,18:03
17:03,4,0,seated,17:03,T14,4,18:18
17:11,3,0,seated,17:11,T15,4,18:22
17:15,4,0,seated,17:15,T16,4,18:20
17:18,2,0,seated,17:18,T05,2,18:24
17:21,2,0,seated,17:21,T06,2,18:17
17:23,3,0,seated,17:23,T17,4,18:43
17:23,4,0,seated,17:23,T18,4,19:24
17:44,1,0,seated,17:44,T02,2,18:26
17:46,3,0,seated,17:48,T12,4,19:06
17:59,2,0,seated,17:59,T01,2,19:00
18:03,2,0,seated,18:03,T04,2,18:59
18:06,1,0,seated,18:06,T07,2,18:49
18:19,1,0,seated,18:19,T03,2,18:55
18:19,4,0,seated,18:19,T13,4,19:28
18:22,4,0,seated,18:22,T14,4,19:25
18:24,2,0,seated,18:24,T06,2,20:11
18:27,2,0,seated,18:27,T08,2,19:44
18:29,2,0,seated,18:29,T05,2,19:17
18:31,1,0,seated,18:31,T02,2,19:37
18:33,4,0,seated,18:33,T15,4,19:59
18:35,4,0,seated,18:35,T16,4,20:33
18:41,3,10,seated,18:47,T17,4,20:05
18:44,4,20,left at the door,,,,
18:44,2,0,seated,18:44,T09,2,19:55
18:45,4,20,seated,19:10,T12,4,20:22
18:46,4,30,left at the door,,,,
18:49,3,20,seated,19:28,T18,4,20:30
18:49,4,30,left at the door,,,,
18:50,2,0,seated,18:50,T10,2,19:45
18:56,1,0,seated,18:56,T07,2,19:40
18:59,2,0,seated,18:59,T11,2,19:48
18:59,2,0,seated,18:59,T03,2,20:27
19:01,1,0,seated,19:03,T04,2,20:00
19:03,4,30,seated,19:29,T14,4,20:53
19:08,3,40,left at the door,,,,
19:10,2,0,seated,19:10,T01,2,20:08
19:15,2,5,seated,19:21,T05,2,20:17
19:25,2,5,seated,19:41,T02,2,20:30
19:27,4,30,seated,19:32,T13,4,20:35
19:28,3,30,left the line,,,,
19:29,2,15,seated,19:44,T07,2,20:39
19:31,4,30,left at the door,,,,
19:33,3,20,left at the door,,,,
19:34,2,20,seated,19:48,T08,2,20:58
19:36,2,25,left at the door,,,,
19:38,3,20,seated,20:03,T15,4,21:31
19:40,4,30,seated,20:09,T17,4,21:11
19:42,2,20,seated,19:49,T10,2,21:13
19:43,2,25,seated,19:52,T11,2,20:44
19:44,2,25,left at the door,,,,
19:53,4,40,left at the door,,,,
19:55,2,0,seated,19:59,T09,2,20:56
19:55,3,40,left at the door,,,,
20:00,4,30,seated,20:26,T12,4,21:23
20:02,4,40,seated,20:34,T18,4,21:40
20:08,2,0,seated,20:08,T04,2,21:09
20:11,2,0,seated,20:12,T01,2,21:04
20:12,2,0,seated,20:15,T06,2,21:12
20:14,4,30,seated,20:37,T16,4,21:44
20:15,2,15,left at the door,,,,
20:17,4,40,left at the door,,,,
20:17,2,0,seated,20:21,T05,2,21:08
20:22,3,40,left at the door,,,,
20:23,3,40,seated,20:39,T13,4,22:00
20:29,4,40,seated,20:57,T14,4,23:27
20:31,4,50,left at the door,,,,
20:32,2,0,seated,20:32,T03,2,21:41
20:40,4,20,seated,21:15,T17,4,22:43
20:41,2,0,seated,20:41,T02,2,21:48
20:47,2,0,seated,20:47,T07,2,21:54
20:48,3,30,seated,21:27,T12,4,22:43
20:49,2,0,seated,20:49,T11,2,21:54
20:51,4,40,seated,21:35,T15,4,22:29
20:51,2,5,seated,21:00,T09,2,22:13
20:53,2,15,seated,21:02,T08,2,21:56
20:54,2,20,seated,21:08,T01,2,22:23
21:00,4,40,seated,21:44,T18,4,22:51
21:04,3,50,left at the door,,,,
21:05,4,50,seated,21:48,T16,4,23:20
21:12,4,60,left at the door,,,,
21:17,2,0,seated,21:17,T04,2,22:05
21:24,4,50,left at the door,,,,
21:24,2,0,seated,21:24,T05,2,22:21
21:30,2,0,seated,21:30,T06,2,22:26
