ticket,kind,table,covers,fired,bumped,turnaround_min
D000,dine-in,T12,3,16:45,17:03,17.8
D001,dine-in,T01,2,16:53,17:04,11.2
D002,dine-in,T02,2,16:55,17:01,6.3
D003,dine-in,T03,2,16:59,17:11,11.7
D004,dine-in,T04,1,17:05,17:11,6.1
D005,dine-in,T13,4,17:05,17:20,15.3
D006,dine-in,T14,4,17:08,17:37,29.2
D007,dine-in,T15,3,17:16,17:27,11.3
D008,dine-in,T16,4,17:20,17:36,16.3
D009,dine-in,T05,2,17:22,17:39,17.0
D010,dine-in,T06,2,17:26,17:42,16.3
D011,dine-in,T17,3,17:27,17:50,22.9
D012,dine-in,T18,4,17:29,17:52,23.4
D013,dine-in,T02,1,17:48,17:53,4.7
D014,dine-in,T12,3,17:52,18:04,11.6
D015,dine-in,T01,2,18:04,18:13,9.2
D016,dine-in,T04,2,18:08,18:17,9.4
D017,dine-in,T07,1,18:11,18:15,4.5
D018,dine-in,T03,1,18:23,18:26,2.9
D019,dine-in,T13,4,18:24,18:38,14.0
D020,dine-in,T14,4,18:28,18:41,12.8
D021,dine-in,T06,2,18:29,18:40,10.9
D022,dine-in,T08,2,18:32,18:42,9.7
D023,dine-in,T05,2,18:33,18:45,12.3
D024,dine-in,T02,1,18:36,18:44,8.1
D025,dine-in,T15,4,18:37,18:55,18.2
D026,dine-in,T16,4,18:39,19:00,20.4
D027,dine-in,T09,2,18:49,18:56,7.7
D028,dine-in,T17,3,18:51,19:05,13.5
D029,dine-in,T10,2,18:54,19:01,6.9
D030,dine-in,T07,1,19:00,19:04,3.8
D031,dine-in,T11,2,19:04,19:12,8.3
D032,dine-in,T03,2,19:04,19:18,13.4
D033,dine-in,T04,1,19:10,19:13,3.2
D034,dine-in,T01,2,19:14,19:24,9.4
D035,dine-in,T12,4,19:15,19:34,18.6
D036,dine-in,T05,2,19:25,19:34,8.7
D037,dine-in,T18,3,19:32,19:41,8.7
D038,dine-in,T14,4,19:34,19:48,14.1
D039,dine-in,T13,4,19:36,19:51,14.6
D040,dine-in,T02,2,19:45,19:52,6.9
D041,dine-in,T07,2,19:49,19:56,7.2
D042,dine-in,T08,2,19:52,20:05,12.7
D043,dine-in,T10,2,19:53,20:02,8.5
D044,dine-in,T11,2,19:57,20:03,6.5
D045,dine-in,T09,2,20:03,20:11,7.5
D046,dine-in,T15,3,20:07,20:16,9.1
D047,dine-in,T04,2,20:13,20:20,6.7
D048,dine-in,T17,4,20:13,20:31,17.6
D049,dine-in,T01,2,20:17,20:23,5.4
D050,dine-in,T06,2,20:20,20:24,4.9
D051,dine-in,T05,2,20:26,20:33,7.6
D052,dine-in,T12,4,20:31,20:42,10.8
D053,dine-in,T03,2,20:36,20:45,9.3
D054,dine-in,T18,4,20:40,20:56,16.1
D055,dine-in,T16,4,20:42,21:00,18.5
D056,dine-in,T13,3,20:44,20:54,10.4
D057,dine-in,T02,2,20:45,21:03,18.2
D058,dine-in,T07,2,20:51,21:05,13.7
D059,dine-in,T11,2,20:53,21:07,14.0
D060,dine-in,T14,4,21:02,21:26,24.7
D061,dine-in,T09,2,21:04,21:16,11.9
D062,dine-in,T08,2,21:07,21:15,8.6
D063,dine-in,T01,2,21:15,21:28,12.5
D064,dine-in,T17,4,21:19,21:34,15.1
D065,dine-in,T04,2,21:21,21:33,11.6
D066,dine-in,T05,2,21:29,21:36,7.3
D067,dine-in,T12,3,21:32,21:50,17.6
D068,dine-in,T06,2,21:35,21:46,10.6
D069,dine-in,T15,4,21:40,21:56,16.6
D070,dine-in,T18,4,21:48,21:59,11.0
D071,dine-in,T16,4,21:52,22:07,15.0
